memorial_id,url,url_type,field_path,link_purpose,specificity,domain,date_added,added_by,last_verified_date,last_http_status,last_result,action_needed,date_fixed,notes
pocklington-ed393,https://www.yorkshire-aircraft.co.uk/aircraft/yorkshire/york43/ed393.html,external_narrative,.external_narratives[1].original_url,,specific,yorkshire-aircraft.co.uk,,holly,2026-04-06,200,OK,none,,
raf-kinloss-area-ni440,http://www.griffon.clara.net/19/19otu_roll_of_honour.htm,source_reference,.sources[1].url,,specific,griffon.clara.net,,holly,2026-04-06,200,OK,none,,
raf-kinloss-area-ni440,http://www.griffon.clara.net/19/whitley_losses.htm,source_reference,.sources[2].url,,specific,griffon.clara.net,,holly,2026-04-06,200,OK,none,,
raf-kinloss-area-ni440,https://heavywhalley.wordpress.com/2020/07/14/whitley-crash-forres-an-forres-airfields/,external_narrative,.external_narratives[1].original_url,,specific,heavywhalley.wordpress.com,,holly,2026-04-06,200,OK,none,,
raf-kinloss-area-ni440,https://visitforres.scot/raf-history-kinloss/,external_narrative,.external_narratives[3].original_url,,specific,visitforres.scot,,holly,2026-04-06,200,OK,none,,
raf-kinloss-area-ni440,https://www.iwm.org.uk/memorials/item/memorial/44614,source_reference,.sources[0].url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
raf-kinloss-area-ni440,https://www.undiscoveredscotland.co.uk/forres/19otu/index.html,external_narrative,.external_narratives[2].original_url,,specific,undiscoveredscotland.co.uk,,holly,2026-04-06,200,OK,none,,
redenhall-two-b-24-crashes-b-24-42-50790-little,https://branches.britishlegion.org.uk/media/6539670/tragedy-in-the-skies-over-harleston-updated-16th-april-2020.pdf,external_narrative,.external_narratives[1].original_url,,specific,branches.britishlegion.org.uk,,holly,2026-04-06,200,OK,none,,
redenhall-two-b-24-crashes-b-24-42-50790-little,https://www.americanairmuseum.com/archive/aircraft/42-50790,external_narrative,.external_narratives[0].original_url,,specific,americanairmuseum.com,,holly,2026-04-06,200,OK,none,,
redenhall-two-b-24-crashes-b-24-42-50790-little,https://www.americanairmuseum.com/archive/aircraft/42-51909,external_narrative,.external_narratives[2].original_url,,specific,americanairmuseum.com,,holly,2026-04-06,200,OK,none,,
redenhall-two-b-24-crashes-b-24-42-50790-little,https://www.aviationmuseum.net/446bg.htm,external_narrative,.external_narratives[3].original_url,,specific,aviationmuseum.net,,holly,2026-04-06,200,OK,none,,
reedham-mid-air-collision-b-17-42-37963-and-b-,https://uswarmemorials.org/html/monument_details.php?MemID=2638&SiteID=2001,external_narrative,.external_narratives[1].original_url,,specific,uswarmemorials.org,,holly,2026-04-06,200,OK,none,,
reedham-mid-air-collision-b-17-42-37963-and-b-,https://www.americanairmuseum.com/archive/person/warren-jay-pease,external_narrative,.external_narratives[4].original_url,,specific,americanairmuseum.com,,holly,2026-04-06,200,OK,none,,
